CountryISO,ID
ABW,1
AGO,2
ALB,3
ARE,4
ARG,5
AUS,6
BEL,7
BEN,8
BGD,9
BGR,10
BHR,11
BHS,12
BIH,13
BLZ,14
BRA,15
BRB,16
BRN,17
CAN,18
CHL,19
CHN,20
CIV,21
CMR,22
COD,23
COG,24
COL,25
COM,26
CPV,27
CRI,28
CUB,29
CYP,30
DEU,31
DJI,32
DNK,33
DOM,34
DZA,35
ECU,36
EGY,37
ERI,38
ESP,39
EST,40
FIN,41
FJI,42
FRA,43
GAB,44
GBR,45
GEO,46
GHA,47
GIN,48
GMB,49
GNB,50
GNQ,51
GRC,52
GTM,53
GUY,54
HKG,55
HND,56
HRV,57
HTI,58
IDN,59
IND,60
IRL,61
IRN,62
IRQ,63
ISL,64
ISR,65
ITA,66
JAM,67
JOR,68
JPN,69
KEN,70
KHM,71
KOR,72
KWT,73
LBN,74
LBR,75
LBY,76
LCA,77
LKA,78
LTU,79
LVA,80
MAC,81
MAR,82
MDG,83
MDV,84
MEX,85
MLT,86
MMR,87
MNE,88
MOZ,89
MRT,90
MUS,91
MYS,92
NAM,93
NCL,94
NGA,95
NIC,96
NLD,97
NOR,98
NZL,99
OMN,100
PAK,101
PAN,102
PER,103
PHL,104
PNG,105
POL,106
PRI,107
PRT,108
PSE,109
PYF,110
QAT,111
ROU,112
RUS,113
SAU,114
SDN,115
SEN,116
SGP,117
SLB,118
SLE,119
SLV,120
SOM,121
STP,122
SUR,123
SVN,124
SWE,125
SYR,126
TGO,127
THA,128
TLS,129
TON,130
TTO,131
TUN,132
TUR,133
TWN,134
TZA,135
UKR,136
URY,137
USA,138
VCT,139
VEN,140
VNM,141
VUT,142
WSM,143
YEM,144
ZAF,145